type,category
1364,Mac Memory
1325,Adapter
5384,Headset
1334,DLink Wireless Routers
13835403,MacBook Case
12995397,Adapter
11865403,iPhone Case
11905404,"Measurement App for iPhone, iPad, and iPod"
12635403,iPad Case
1296,Monitor
1229,Stylus for iPads and iPhones
11935397,External Hard Drive
12655397,HDD Hard Drives
1282,Apple iMac MacBook
12175397,Synology RAM
1405,Wacom Graphics Tablets
57445397,Memory Card/Pendrive
12215397,SSD Hard Drive
13555403,iPhone Screen Protectors
"1,44E+11",Repair Service
5398,Wireless Speaker
1433,Upgrade Kit (Mac)
1515,External Batteries and Power Banks
1298,Adapter
13615399,iPhone and iPad Chargers
12585395,Adapter
2449,Apple Watch Accessories
"5,74E+15",Apple iMac Desktop Computer
2158,"MacBook Pro (13""/15"")"
"1,02E+12","MacBook Pro (13""/15"")"
